epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,44.6373,0.20694,0.33418,0.91606,0.92846,0.82143,0.89821,0.79244,0.46526,0.54175,0.71195,0.000709809,0.000709809,0.000709809
60,45.3637,0.20585,0.32687,0.93069,0.91089,0.82138,0.90438,0.79973,0.44564,0.57154,0.69992,0.000693305,0.000693305,0.000693305
61,46.0888,0.19592,0.30296,0.95544,0.89936,0.82143,0.92003,0.79304,0.50949,0.63185,0.78111,0.000676802,0.000676802,0.000676802
62,46.8107,0.17835,0.28861,0.91945,0.85,0.78789,0.90269,0.78404,0.54889,0.64825,0.831,0.000660299,0.000660299,0.000660299
63,47.5394,0.18983,0.32229,0.92587,0.77564,0.85851,0.8916,0.75979,0.56865,0.64113,0.84352,0.000643795,0.000643795,0.000643795
64,48.2681,0.2068,0.30576,0.91993,0.88112,0.78571,0.90095,0.78618,0.50699,0.65108,0.77927,0.000627292,0.000627292,0.000627292
65,48.9927,0.17557,0.29112,0.9243,0.88639,0.82143,0.88447,0.78688,0.51402,0.65625,0.76649,0.000610789,0.000610789,0.000610789
66,49.7293,0.18939,0.28733,0.9389,0.85021,0.81904,0.86776,0.75303,0.55005,0.7513,0.7963,0.000594286,0.000594286,0.000594286
67,50.4755,0.1774,0.29925,0.92841,0.83636,0.85714,0.87753,0.75858,0.5559,0.76702,0.80376,0.000577782,0.000577782,0.000577782
68,51.2155,0.17957,0.28519,0.91704,0.89015,0.84026,0.88423,0.79114,0.49722,0.75379,0.75996,0.000561279,0.000561279,0.000561279
69,51.943,0.18868,0.29137,0.94852,0.87957,0.82143,0.87693,0.78161,0.50491,0.71929,0.75856,0.000544776,0.000544776,0.000544776
70,52.6651,0.2066,0.30444,0.94095,0.93525,0.81409,0.87876,0.78483,0.49623,0.64827,0.75736,0.000528272,0.000528272,0.000528272
71,53.3888,0.19377,0.29755,0.9434,0.86965,0.85714,0.87278,0.76427,0.57315,0.68492,0.80242,0.000511769,0.000511769,0.000511769
72,54.126,0.17509,0.27521,0.92479,0.87058,0.85714,0.84516,0.70915,0.59925,0.70607,0.81754,0.000495266,0.000495266,0.000495266
73,54.8555,0.18426,0.27825,0.9369,0.86571,0.85714,0.86663,0.71974,0.57911,0.70887,0.80278,0.000478762,0.000478762,0.000478762
74,55.5818,0.17181,0.27055,0.91518,0.89655,0.85714,0.88489,0.75305,0.5641,0.65271,0.78791,0.000462259,0.000462259,0.000462259
75,56.3484,0.18285,0.29283,0.93206,0.85886,0.85714,0.88546,0.7815,0.5901,0.73209,0.8167,0.000445756,0.000445756,0.000445756
76,57.0949,0.18017,0.27113,0.9286,0.89836,0.85182,0.89335,0.76839,0.61086,0.75678,0.84099,0.000429253,0.000429253,0.000429253
77,57.8192,0.17179,0.25575,0.93338,0.86885,0.8877,0.90855,0.7521,0.64427,0.74797,0.85597,0.000412749,0.000412749,0.000412749
78,58.5791,0.16678,0.25941,0.88163,0.93554,0.85714,0.90504,0.73405,0.66581,0.72532,0.86523,0.000396246,0.000396246,0.000396246
79,59.3112,0.18767,0.27719,0.91174,0.873,0.91022,0.9075,0.76749,0.61118,0.68237,0.82504,0.000379743,0.000379743,0.000379743
80,60.0612,0.18672,0.2511,0.92741,0.87437,0.89085,0.89941,0.76256,0.57792,0.65207,0.80797,0.000363239,0.000363239,0.000363239
81,60.804,0.16144,0.23949,0.93406,0.87685,0.89204,0.87198,0.75294,0.57416,0.64362,0.7868,0.000346736,0.000346736,0.000346736
82,61.5433,0.18706,0.25732,0.95445,0.87006,0.89286,0.88239,0.76123,0.51944,0.62267,0.73911,0.000330233,0.000330233,0.000330233
83,62.2896,0.16304,0.24597,0.924,0.8712,0.89286,0.88874,0.77358,0.513,0.60892,0.72786,0.000313729,0.000313729,0.000313729
84,63.0276,0.16072,0.24416,0.92132,0.8238,0.91416,0.88494,0.77274,0.50436,0.61951,0.72609,0.000297226,0.000297226,0.000297226
85,63.7642,0.17837,0.25507,0.90728,0.8194,0.89778,0.89698,0.785,0.50928,0.64835,0.73719,0.000280723,0.000280723,0.000280723
86,64.495,0.16237,0.25326,0.90689,0.86665,0.88643,0.90686,0.78955,0.51737,0.6575,0.75207,0.00026422,0.00026422,0.00026422
87,65.2257,0.1595,0.24773,0.9404,0.8671,0.89056,0.90583,0.77954,0.51728,0.6581,0.75199,0.000247716,0.000247716,0.000247716
88,65.9416,0.17532,0.24143,0.91681,0.86556,0.89286,0.90102,0.78883,0.5211,0.66593,0.75465,0.000231213,0.000231213,0.000231213
89,66.6748,0.167,0.25117,0.92804,0.86722,0.89286,0.90824,0.79797,0.53846,0.67235,0.76938,0.00021471,0.00021471,0.00021471
90,67.4136,0.14058,0.22303,0.90894,0.86238,0.89286,0.90242,0.78633,0.54473,0.69086,0.77408,0.000198206,0.000198206,0.000198206
91,68.5915,0.18723,1.09728,0.97077,0.90244,0.88415,0.91183,0.79457,0.5275,0.68544,0.75901,0.000181703,0.000181703,0.000181703
92,69.3364,0.20645,0.67746,0.96545,0.89633,0.89286,0.91745,0.79488,0.51698,0.70246,0.74813,0.0001652,0.0001652,0.0001652
93,70.1104,0.17617,0.36884,0.94953,0.90019,0.85918,0.91393,0.78864,0.49951,0.69409,0.73796,0.000148696,0.000148696,0.000148696
94,70.8572,0.17556,0.34854,0.95685,0.87155,0.89286,0.91964,0.78597,0.48994,0.69309,0.73184,0.000132193,0.000132193,0.000132193
95,71.5978,0.18107,0.28905,0.92799,0.86976,0.85863,0.91201,0.77106,0.4904,0.70133,0.73298,0.00011569,0.00011569,0.00011569
96,72.3362,0.1693,0.27703,0.92414,0.84728,0.89286,0.90276,0.76801,0.49822,0.7211,0.7441,9.91865e-05,9.91865e-05,9.91865e-05
97,73.0454,0.15907,0.29362,0.92599,0.8479,0.89286,0.90346,0.77707,0.49536,0.70951,0.7426,8.26832e-05,8.26832e-05,8.26832e-05
98,73.7802,0.16443,0.26828,0.94597,0.84939,0.89286,0.91401,0.79624,0.48049,0.67609,0.73307,6.61799e-05,6.61799e-05,6.61799e-05
99,74.5075,0.16692,0.25707,0.89607,0.86666,0.89286,0.91439,0.80008,0.47115,0.65649,0.72534,4.96766e-05,4.96766e-05,4.96766e-05
100,75.224,0.16176,0.25491,0.90733,0.87627,0.85714,0.91875,0.80176,0.48678,0.65448,0.73384,3.31733e-05,3.31733e-05,3.31733e-05
