epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,544.231,1.37855,3.15,1.65108,1.35469,0.46059,0.5943,0.48747,0.36819,0.41971,0.53695,0.38739,0.20785,1.35419,2.70982,1.71911,1.29979,0.000877263,0.000877263,0.000877263
41,557.555,1.37658,3.15459,1.65047,1.36297,0.44928,0.51772,0.47632,0.35303,0.41022,0.45818,0.407,0.21778,1.37992,2.76025,1.8908,1.30574,0.000863116,0.000863116,0.000863116
42,570.845,1.35732,3.09802,1.6451,1.3447,0.50221,0.56378,0.49206,0.38511,0.45229,0.50913,0.38605,0.21348,1.32496,2.70427,1.76667,1.27806,0.000848969,0.000848969,0.000848969
43,584.651,1.35784,3.08467,1.65441,1.35994,0.50308,0.59782,0.52832,0.38805,0.45563,0.5205,0.43294,0.23178,1.38524,2.74418,1.73717,1.3043,0.000834822,0.000834822,0.000834822
44,599.142,1.35161,3.15663,1.59523,1.35665,0.53688,0.57515,0.53359,0.42082,0.48223,0.50938,0.4218,0.24492,1.40359,2.72592,1.74417,1.28646,0.000820675,0.000820675,0.000820675
45,613.565,1.31968,3.03894,1.55547,1.3262,0.42428,0.54928,0.44945,0.33923,0.36921,0.48244,0.35306,0.17813,1.46132,2.70201,1.84143,1.3379,0.000806528,0.000806528,0.000806528
46,626.944,1.32698,3.0586,1.58503,1.32603,0.48547,0.52402,0.52655,0.3969,0.49358,0.44806,0.43892,0.22996,1.42165,2.78046,1.81123,1.32811,0.00079238,0.00079238,0.00079238
47,640.898,1.3242,3.03972,1.58429,1.33129,0.40107,0.61196,0.497,0.38331,0.37992,0.50395,0.38663,0.21342,1.4154,2.78505,1.75197,1.29035,0.000778233,0.000778233,0.000778233
48,654.322,1.31339,2.99165,1.53753,1.31822,0.47849,0.58084,0.52288,0.39693,0.44246,0.54011,0.45079,0.22504,1.39053,2.73244,1.77932,1.28897,0.000764086,0.000764086,0.000764086
49,667.633,1.33257,3.06578,1.55676,1.33388,0.51124,0.57409,0.52495,0.37924,0.46383,0.51985,0.42123,0.22081,1.30613,2.7112,1.63885,1.2764,0.000749939,0.000749939,0.000749939
50,680.914,1.28135,2.98653,1.51477,1.2954,0.47633,0.48644,0.4981,0.38786,0.46919,0.43497,0.40232,0.22207,1.35872,2.77054,1.83025,1.27882,0.000735792,0.000735792,0.000735792
51,694.462,1.29205,2.96341,1.54361,1.30398,0.47067,0.63711,0.54862,0.44164,0.43718,0.57959,0.47516,0.25002,1.32863,2.73131,1.73211,1.27077,0.000721645,0.000721645,0.000721645
52,708.947,1.31182,2.98592,1.51991,1.31651,0.43859,0.64308,0.47991,0.36976,0.4002,0.59764,0.39988,0.21214,1.36707,2.66687,1.73851,1.28022,0.000707498,0.000707498,0.000707498
53,722.322,1.30577,3.02415,1.54506,1.32624,0.48055,0.56801,0.52253,0.40583,0.45523,0.49456,0.43518,0.2402,1.35388,2.75146,1.73827,1.28803,0.000693351,0.000693351,0.000693351
54,735.798,1.27997,2.92491,1.51155,1.30775,0.54333,0.578,0.55617,0.43363,0.49792,0.51367,0.44402,0.24172,1.31243,2.66452,1.68609,1.24572,0.000679204,0.000679204,0.000679204
55,749.218,1.2707,2.9716,1.49257,1.29776,0.45188,0.60007,0.50855,0.40255,0.50705,0.41932,0.40625,0.23107,1.33964,2.71626,1.71582,1.27287,0.000665057,0.000665057,0.000665057
56,763.153,1.25729,2.89367,1.48654,1.27743,0.50426,0.51491,0.47913,0.36521,0.42708,0.47159,0.37982,0.20351,1.45603,2.83028,1.8184,1.31823,0.000650909,0.000650909,0.000650909
