epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,167.286,1.31832,3.03419,1.56877,1.28785,0.53409,0.6057,0.56655,0.4266,0.471,0.5058,0.4303,0.24659,1.36406,2.79916,1.72111,1.26646,0.00089141,0.00089141,0.00089141
40,171.499,1.32918,3.08549,1.58565,1.30099,0.5004,0.58472,0.55643,0.41612,0.49743,0.47415,0.44112,0.23087,1.34879,2.78848,1.80097,1.25178,0.000877263,0.000877263,0.000877263
41,175.706,1.35715,3.07321,1.59482,1.31224,0.48494,0.61658,0.55278,0.43295,0.46975,0.51607,0.45451,0.25472,1.33803,2.84904,1.73524,1.23049,0.000863116,0.000863116,0.000863116
42,179.879,1.31716,3.01069,1.56595,1.2868,0.48482,0.59771,0.50245,0.37134,0.40876,0.52648,0.38305,0.19434,1.31438,2.69817,1.71695,1.21637,0.000848969,0.000848969,0.000848969
43,184.055,1.33532,3.03325,1.59526,1.30274,0.50948,0.68542,0.58114,0.44997,0.44894,0.57688,0.46347,0.2579,1.31331,2.71641,1.66461,1.22009,0.000834822,0.000834822,0.000834822
44,188.424,1.33389,3.07666,1.54729,1.29803,0.47931,0.59435,0.50899,0.37957,0.42672,0.5357,0.40148,0.21916,1.36074,2.81652,1.73219,1.24005,0.000820675,0.000820675,0.000820675
45,192.615,1.30166,2.97415,1.5239,1.28054,0.59585,0.62878,0.58931,0.45876,0.53648,0.55347,0.46404,0.26142,1.32324,2.86251,1.69354,1.22876,0.000806528,0.000806528,0.000806528
46,196.819,1.28919,2.97799,1.52149,1.27154,0.54569,0.6041,0.57364,0.42795,0.48273,0.52702,0.43097,0.23225,1.29932,2.77595,1.64988,1.22437,0.00079238,0.00079238,0.00079238
47,201.022,1.28852,2.95139,1.50936,1.2692,0.56885,0.60237,0.58233,0.44857,0.4965,0.5257,0.46248,0.24519,1.33781,2.76994,1.69129,1.23005,0.000778233,0.000778233,0.000778233
48,205.228,1.30728,2.93355,1.47246,1.26453,0.54791,0.61165,0.57826,0.44426,0.52309,0.53913,0.4852,0.24262,1.42488,2.75755,1.65598,1.25576,0.000764086,0.000764086,0.000764086
49,209.615,1.29868,2.97817,1.49235,1.27267,0.57561,0.64408,0.60355,0.47314,0.52001,0.57672,0.48474,0.2733,1.27708,2.80876,1.63337,1.21001,0.000749939,0.000749939,0.000749939
50,213.833,1.2529,2.90005,1.47339,1.24081,0.48765,0.65517,0.55418,0.39757,0.44154,0.55108,0.43237,0.21393,1.33314,2.83657,1.72231,1.20756,0.000735792,0.000735792,0.000735792
51,218.04,1.26732,2.88227,1.49062,1.24534,0.51525,0.60947,0.57439,0.44523,0.51799,0.49855,0.47268,0.25145,1.2846,2.8665,1.65088,1.20062,0.000721645,0.000721645,0.000721645
52,222.234,1.28828,2.92046,1.46473,1.2636,0.53457,0.59782,0.55445,0.42456,0.48933,0.53129,0.44634,0.25414,1.32535,2.87611,1.65341,1.20697,0.000707498,0.000707498,0.000707498
53,226.43,1.29569,2.95577,1.50236,1.27463,0.54176,0.58116,0.57391,0.43905,0.48747,0.5234,0.46949,0.26331,1.31747,2.80682,1.64884,1.21727,0.000693351,0.000693351,0.000693351
54,230.788,1.26015,2.86232,1.46439,1.25357,0.60083,0.5729,0.59736,0.45883,0.51743,0.49763,0.44662,0.2481,1.32436,2.80862,1.67373,1.22163,0.000679204,0.000679204,0.000679204
55,234.982,1.26657,2.93605,1.46794,1.25134,0.53953,0.60085,0.54255,0.43144,0.47879,0.5137,0.42319,0.24323,1.3258,2.83602,1.7,1.23604,0.000665057,0.000665057,0.000665057
56,239.159,1.25352,2.84177,1.44663,1.2375,0.49537,0.59562,0.55859,0.43442,0.43297,0.50815,0.42725,0.23244,1.44641,2.92818,1.67994,1.28669,0.000650909,0.000650909,0.000650909
57,243.365,1.25895,2.81814,1.42969,1.24123,0.57262,0.61335,0.58567,0.45715,0.5165,0.54107,0.4668,0.25649,1.28746,2.86084,1.61228,1.21212,0.000636762,0.000636762,0.000636762
58,247.53,1.25239,2.91975,1.45564,1.26666,0.53817,0.66601,0.61625,0.4686,0.50483,0.54329,0.50412,0.2719,1.28197,2.80317,1.62745,1.2054,0.000622615,0.000622615,0.000622615
59,251.998,1.26638,2.88599,1.47751,1.26213,0.53997,0.64481,0.59777,0.46547,0.51122,0.55047,0.47403,0.25882,1.37733,2.83057,1.65628,1.24889,0.000608468,0.000608468,0.000608468
60,256.301,1.24702,2.81741,1.41965,1.23237,0.52948,0.62493,0.61104,0.4738,0.46332,0.54682,0.48958,0.27064,1.36242,2.90271,1.6302,1.22507,0.000594321,0.000594321,0.000594321
61,260.484,1.24547,2.871,1.41943,1.2325,0.59855,0.60084,0.62739,0.49491,0.52437,0.52948,0.50461,0.29074,1.30034,2.82338,1.63649,1.18784,0.000580174,0.000580174,0.000580174
62,264.742,1.25682,2.81354,1.41477,1.23509,0.49611,0.69125,0.58668,0.46079,0.51878,0.52145,0.48931,0.25795,1.31453,2.81163,1.66897,1.2133,0.000566027,0.000566027,0.000566027
63,268.923,1.2278,2.82585,1.41,1.23131,0.51219,0.60987,0.59643,0.46759,0.43396,0.51602,0.45056,0.24927,1.30554,2.86313,1.698,1.21433,0.00055188,0.00055188,0.00055188
64,273.323,1.2458,2.84268,1.41487,1.24236,0.5826,0.56095,0.59789,0.46187,0.52094,0.50316,0.49646,0.26355,1.27615,2.81259,1.66085,1.18759,0.000537733,0.000537733,0.000537733
65,277.484,1.19487,2.75522,1.37311,1.21779,0.52302,0.63828,0.59814,0.46408,0.51706,0.49951,0.48788,0.25805,1.31881,2.83131,1.69074,1.20365,0.000523586,0.000523586,0.000523586
66,281.676,1.22608,2.76806,1.3741,1.22303,0.53272,0.63691,0.62345,0.48926,0.47874,0.5769,0.51469,0.25965,1.35385,2.85926,1.65716,1.21878,0.000509438,0.000509438,0.000509438
67,285.84,1.19525,2.74234,1.37932,1.2147,0.58785,0.63013,0.59888,0.47,0.50193,0.54832,0.47271,0.26765,1.32594,2.90589,1.63698,1.20468,0.000495291,0.000495291,0.000495291
68,290.005,1.2085,2.75621,1.38634,1.21954,0.5702,0.59159,0.58918,0.44625,0.49835,0.51736,0.45821,0.22526,1.33619,2.85408,1.71159,1.22083,0.000481144,0.000481144,0.000481144
69,294.446,1.20641,2.70604,1.33401,1.20762,0.61297,0.54684,0.59658,0.46672,0.55589,0.48866,0.47402,0.22998,1.28842,2.88812,1.6381,1.20529,0.000466997,0.000466997,0.000466997
70,298.65,1.19608,2.7605,1.34256,1.19695,0.57224,0.62116,0.6086,0.4683,0.52255,0.53896,0.48206,0.24243,1.25557,2.89144,1.62732,1.18904,0.00045285,0.00045285,0.00045285
71,302.838,1.22459,2.7726,1.33416,1.20607,0.60789,0.66219,0.60282,0.47884,0.54671,0.59166,0.48451,0.27057,1.2741,2.89975,1.6724,1.19102,0.000438703,0.000438703,0.000438703
72,306.99,1.21526,2.68283,1.35593,1.21362,0.56919,0.65282,0.61558,0.47417,0.51898,0.58668,0.50974,0.2599,1.35563,2.85358,1.64086,1.2224,0.000424556,0.000424556,0.000424556
73,311.165,1.19265,2.69924,1.30709,1.20657,0.59788,0.62195,0.63883,0.50607,0.57592,0.51862,0.4969,0.276,1.28911,2.85099,1.60773,1.19285,0.000410409,0.000410409,0.000410409
74,315.556,1.17669,2.66504,1.32389,1.19805,0.55961,0.624,0.61084,0.4852,0.53008,0.53139,0.50739,0.28393,1.26553,2.88273,1.61525,1.17931,0.000396262,0.000396262,0.000396262
75,319.744,1.18219,2.70133,1.32253,1.19348,0.55441,0.66868,0.61267,0.48152,0.49324,0.58536,0.4782,0.26004,1.29898,2.86592,1.62469,1.19769,0.000382115,0.000382115,0.000382115
76,323.91,1.17788,2.67603,1.29651,1.19486,0.52337,0.68872,0.57001,0.45901,0.45784,0.59837,0.45952,0.25387,1.25638,2.9281,1.6562,1.18299,0.000367967,0.000367967,0.000367967
77,328.13,1.16938,2.65444,1.28182,1.18847,0.55452,0.63822,0.59231,0.47092,0.49919,0.55958,0.47993,0.2531,1.28262,2.8719,1.66344,1.18859,0.00035382,0.00035382,0.00035382
78,332.333,1.17586,2.69094,1.28601,1.19843,0.59155,0.62157,0.59428,0.45838,0.5272,0.543,0.46398,0.21457,1.3175,2.88458,1.62834,1.19709,0.000339673,0.000339673,0.000339673
79,336.519,1.17963,2.66373,1.27863,1.19022,0.53888,0.70341,0.61606,0.49056,0.46997,0.61632,0.48349,0.27121,1.25566,2.90415,1.6355,1.17409,0.000325526,0.000325526,0.000325526
80,340.649,1.16666,2.62123,1.2717,1.18852,0.54707,0.63205,0.57539,0.45767,0.48059,0.57889,0.46377,0.22692,1.29099,3.04602,1.65686,1.18699,0.000311379,0.000311379,0.000311379
81,345.025,1.17909,2.66187,1.27194,1.19001,0.6101,0.58973,0.58991,0.46172,0.55782,0.53146,0.48811,0.25742,1.31715,2.97634,1.64016,1.20682,0.000297232,0.000297232,0.000297232
82,349.202,1.16819,2.64239,1.2671,1.19355,0.58706,0.61741,0.59905,0.48054,0.5309,0.54081,0.4741,0.27363,1.29672,3.07429,1.68447,1.19309,0.000283085,0.000283085,0.000283085
83,353.382,1.14531,2.65148,1.24673,1.176,0.55498,0.6342,0.59935,0.47671,0.49504,0.54921,0.4693,0.2499,1.29674,2.90859,1.63776,1.1924,0.000268938,0.000268938,0.000268938
84,357.52,1.16271,2.65997,1.27832,1.1985,0.49797,0.66115,0.59293,0.47418,0.46839,0.59993,0.49847,0.24898,1.26623,3.00088,1.64579,1.19536,0.000254791,0.000254791,0.000254791
85,361.708,1.16205,2.63384,1.25348,1.19935,0.50668,0.66538,0.60676,0.49259,0.50999,0.54351,0.52,0.28155,1.27022,2.94343,1.62904,1.17972,0.000240644,0.000240644,0.000240644
86,366.046,1.15021,2.56078,1.26244,1.18431,0.52669,0.65269,0.57879,0.46765,0.47248,0.56379,0.47689,0.26164,1.27571,2.93052,1.63282,1.18553,0.000226497,0.000226497,0.000226497
87,370.253,1.14488,2.55532,1.23273,1.17706,0.51426,0.67494,0.58988,0.47853,0.49791,0.55193,0.49246,0.26278,1.2699,2.93887,1.64248,1.17966,0.000212349,0.000212349,0.000212349
88,374.432,1.13668,2.58671,1.21497,1.17691,0.53136,0.6576,0.58821,0.47452,0.52773,0.53033,0.4705,0.25872,1.26494,2.99993,1.66236,1.17872,0.000198202,0.000198202,0.000198202
89,378.609,1.14002,2.56461,1.22392,1.1707,0.58316,0.63498,0.59762,0.4747,0.52638,0.57367,0.47679,0.25602,1.28938,2.97851,1.64583,1.18915,0.000184055,0.000184055,0.000184055
90,382.774,1.14942,2.58076,1.22908,1.17278,0.5285,0.65855,0.6016,0.4904,0.4696,0.5627,0.48766,0.27254,1.26764,2.99681,1.6503,1.1855,0.000169908,0.000169908,0.000169908
91,387.715,1.23742,2.49147,1.32926,1.1814,0.55443,0.6465,0.597,0.49322,0.50507,0.58217,0.49789,0.28217,1.25399,3.0966,1.63966,1.176,0.000155761,0.000155761,0.000155761
92,391.77,1.22525,2.43225,1.28189,1.16554,0.55275,0.63995,0.58235,0.48329,0.53303,0.57633,0.50903,0.26121,1.22331,3.00202,1.61016,1.16137,0.000141614,0.000141614,0.000141614
93,395.782,1.22589,2.45623,1.23837,1.17127,0.57551,0.64991,0.60355,0.49424,0.51734,0.5494,0.46843,0.27201,1.28253,3.04777,1.59929,1.1786,0.000127467,0.000127467,0.000127467
94,399.781,1.23162,2.46392,1.24473,1.16961,0.53518,0.65559,0.61036,0.49952,0.55291,0.54529,0.51575,0.28833,1.29467,3.06163,1.61912,1.19169,0.00011332,0.00011332,0.00011332
95,403.852,1.19189,2.4117,1.20218,1.14965,0.56368,0.61988,0.60108,0.49354,0.50336,0.53497,0.46695,0.27371,1.25342,3.02594,1.61035,1.17107,9.91726e-05,9.91726e-05,9.91726e-05
96,408.075,1.20404,2.44673,1.19648,1.15545,0.60261,0.59524,0.60991,0.50164,0.57981,0.54021,0.51703,0.2835,1.25655,3.04533,1.6009,1.16987,8.50255e-05,8.50255e-05,8.50255e-05
97,412.137,1.21,2.44059,1.21721,1.16783,0.55833,0.69009,0.61252,0.50123,0.49765,0.60205,0.49903,0.27403,1.26166,3.05242,1.61976,1.16997,7.08784e-05,7.08784e-05,7.08784e-05
98,416.172,1.1919,2.38944,1.19917,1.14702,0.58487,0.66889,0.6171,0.505,0.52075,0.59495,0.48306,0.28076,1.23709,3.0346,1.59948,1.16408,5.67313e-05,5.67313e-05,5.67313e-05
99,420.148,1.19764,2.38885,1.18043,1.15969,0.59985,0.65261,0.61771,0.50655,0.53892,0.58419,0.50235,0.27909,1.26643,3.08135,1.61697,1.17433,4.25842e-05,4.25842e-05,4.25842e-05
100,424.4,1.18711,2.37481,1.18366,1.15692,0.59541,0.6543,0.61813,0.50711,0.54767,0.57383,0.51923,0.28794,1.26887,3.06733,1.62117,1.17161,2.84371e-05,2.84371e-05,2.84371e-05
